Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,75.000000,76.790001,67.000000,68.349998,68.349998,20621000
2020-09-21,67.110001,73.980003,65.110001,72.959999,72.959999,5055200
2020-09-22,76.639999,84.980003,75.110001,84.820000,84.820000,6893700
2020-09-23,88.669998,88.879997,79.900002,81.849998,81.849998,4343900
2020-09-24,77.750000,83.889999,75.699997,83.199997,83.199997,2487200
2020-09-25,84.790001,93.360001,84.250000,89.849998,89.849998,3681700
2020-09-28,94.459999,100.000000,94.099998,95.800003,95.800003,3999900
2020-09-29,98.160004,102.629997,93.500000,94.919998,94.919998,2814000
2020-09-30,94.900002,96.360001,85.029999,87.279999,87.279999,3670700
2020-10-01,89.330002,90.970001,83.500000,84.559998,84.559998,4530800
2020-10-02,81.550003,87.619003,81.550003,83.529999,83.529999,2771300
2020-10-05,85.830002,85.848999,82.300003,84.000000,84.000000,1260500
2020-10-06,84.610001,84.760002,82.709999,82.790001,82.790001,1014400
2020-10-07,84.040001,89.500000,83.758003,88.650002,88.650002,1767800
2020-10-08,91.190002,93.500000,88.800003,91.400002,91.400002,1892900
2020-10-09,92.849998,100.419998,92.699997,99.110001,99.110001,2587700
2020-10-12,100.129997,101.000000,89.800003,90.000000,90.000000,3868000
2020-10-13,92.349998,94.779999,91.000000,92.110001,92.110001,2000700
2020-10-14,93.519997,96.099998,89.199997,90.019997,90.019997,2196100
2020-10-15,88.199997,93.389999,87.000000,91.430000,91.430000,1362700
2020-10-16,92.190002,93.599998,90.877998,92.559998,92.559998,958600
2020-10-19,94.000000,95.400002,88.209999,89.300003,89.300003,1669100
2020-10-20,89.830002,90.620003,86.099998,87.150002,87.150002,1224800
2020-10-21,87.269997,91.269997,87.269997,91.000000,91.000000,1270200
2020-10-22,90.820000,101.000000,88.279999,100.959999,100.959999,4738100
2020-10-23,101.000000,103.970001,93.000000,97.279999,97.279999,3246200
2020-10-26,98.000000,103.489998,91.629997,99.959999,99.959999,2933300
2020-10-27,100.000000,108.349998,95.500000,104.000000,104.000000,5984300
2020-10-28,100.000000,102.000000,96.199997,99.760002,99.760002,2391500
2020-10-29,101.790001,109.279999,98.500000,108.839996,108.839996,2805300
2020-10-30,105.809998,107.300003,92.220001,94.879997,94.879997,5100700
2020-11-02,96.669998,98.690002,93.371002,94.129997,94.129997,2514500
2020-11-03,96.000000,99.500000,94.599998,98.070000,98.070000,2161600
2020-11-04,101.809998,106.879997,100.500000,106.449997,106.449997,2788900
2020-11-05,110.000000,112.790001,107.230003,110.760002,110.760002,2106600
2020-11-06,110.500000,119.879997,108.150002,119.000000,119.000000,1727700
2020-11-09,116.879997,117.029999,102.410004,102.849998,102.849998,3158700
2020-11-10,106.059998,106.190002,98.000000,99.660004,99.660004,2447100
2020-11-11,102.760002,106.500000,101.529999,105.580002,105.580002,1663700
2020-11-12,105.000000,106.531998,99.504997,101.739998,101.739998,2937000
2020-11-13,100.000000,116.860001,100.000000,114.769997,114.769997,4769700
2020-11-16,109.000000,112.500000,105.370003,111.510002,111.510002,4675000
2020-11-17,107.830002,122.949997,107.830002,118.050003,118.050003,3710800
2020-11-18,119.190002,119.269997,113.510002,115.010002,115.010002,1897200
2020-11-19,115.010002,118.500000,114.000000,116.309998,116.309998,1663800
2020-11-20,117.309998,124.180000,116.341003,122.800003,122.800003,2688000
2020-11-23,123.309998,129.869995,122.599998,129.399994,129.399994,2100800
2020-11-24,130.970001,133.850006,126.000000,129.039993,129.039993,1724900
2020-11-25,130.000000,138.947998,128.000000,137.460007,137.460007,1539800
2020-11-27,143.000000,148.000000,141.550003,147.619995,147.619995,1799400
2020-11-30,147.000000,152.610001,139.130005,151.979996,151.979996,2514000
2020-12-01,155.000000,155.949997,142.660004,147.229996,147.229996,2407200
2020-12-02,142.100006,145.500000,135.509995,141.050003,141.050003,2141600
2020-12-03,143.199997,149.949997,142.610001,145.669998,145.669998,1241300
2020-12-04,149.089996,154.880005,146.610001,150.940002,150.940002,1498600
2020-12-07,151.899994,158.199997,150.330002,155.710007,155.710007,1321800
2020-12-08,158.000000,167.869995,158.000000,167.250000,167.250000,1738800
2020-12-09,169.800003,170.550003,149.115997,152.000000,152.000000,4057700
2020-12-10,151.460007,161.250000,150.500000,158.179993,158.179993,1862900
2020-12-11,158.000000,159.472000,151.619995,152.500000,152.500000,1360400
2020-12-14,154.500000,156.000000,143.649994,146.720001,146.720001,2383900
2020-12-15,150.000000,150.009995,142.330002,144.580002,144.580002,1461100
2020-12-16,145.889999,150.759995,144.679993,146.690002,146.690002,1516100
2020-12-17,154.160004,156.990005,148.550003,151.270004,151.270004,1915900
2020-12-18,155.000000,158.429993,151.000000,157.770004,157.770004,3637600
2020-12-21,158.000000,165.699997,155.100006,165.369995,165.369995,1772300
2020-12-22,168.000000,173.589996,161.552002,172.289993,172.289993,2275000
2020-12-23,174.889999,174.940002,165.009995,167.949997,167.949997,1323600
2020-12-24,169.000000,173.139999,163.839996,164.919998,164.919998,746600
2020-12-28,169.360001,170.020004,154.580002,156.440002,156.440002,1814800
2020-12-29,158.000000,158.580002,147.235001,151.179993,151.179993,1990900
2020-12-30,154.080002,157.550003,149.300003,154.820007,154.820007,1227600
2020-12-31,154.940002,156.850006,152.220001,153.470001,153.470001,714800
2021-01-04,155.000000,155.250000,141.210007,144.080002,144.080002,3129600
2021-01-05,142.000000,149.229996,138.300003,148.720001,148.720001,1903800
2021-01-06,141.050003,142.759995,136.324997,137.990005,137.990005,3410700
2021-01-07,138.000000,140.970001,135.199997,138.570007,138.570007,3225300
2021-01-08,141.000000,150.880005,141.000000,146.199997,146.199997,2780500
2021-01-11,143.000000,145.729996,139.000000,141.509995,141.509995,1950300
2021-01-12,143.000000,149.464005,141.750000,146.990005,146.990005,1439100
2021-01-13,149.000000,156.690002,148.520004,151.130005,151.130005,1641800
2021-01-14,152.000000,157.130005,146.199997,150.410004,150.410004,2161500
2021-01-15,153.250000,158.600006,147.690002,148.610001,148.610001,1846000
2021-01-19,150.809998,151.199997,143.789993,144.889999,144.889999,1505200
2021-01-20,146.929993,149.889999,145.660004,147.250000,147.250000,909100
2021-01-21,145.839996,148.279999,142.309998,146.960007,146.960007,1461300
2021-01-22,145.389999,156.162003,145.270004,154.029999,154.029999,2012300
2021-01-25,158.009995,167.320007,150.449997,151.529999,151.529999,3554900
2021-01-26,152.699997,155.830002,148.104004,149.449997,149.449997,1113000
2021-01-27,146.479996,164.399994,140.949997,155.860001,155.860001,3613100
2021-01-28,154.570007,158.550003,150.199997,154.179993,154.179993,1273300
2021-01-29,152.330002,156.919998,147.610001,149.820007,149.820007,1385700
2021-02-01,153.360001,158.410004,149.279999,152.929993,152.929993,1663900
2021-02-02,154.460007,154.460007,147.820007,148.000000,148.000000,2123000
2021-02-03,149.000000,151.009995,147.009995,148.330002,148.330002,1399500
2021-02-04,149.250000,153.330002,147.500000,149.809998,149.809998,3784400
2021-02-05,132.000000,139.779999,128.500000,128.639999,128.639999,17012100
2021-02-08,127.650002,129.250000,123.699997,124.889999,124.889999,22008000
2021-02-09,127.500000,131.419998,126.580002,128.000000,128.000000,11939500
2021-02-10,129.820007,130.039993,125.500000,127.650002,127.650002,5690400
2021-02-11,128.449997,129.600006,124.500000,125.389999,125.389999,6508800
2021-02-12,125.029999,126.070000,122.320000,126.070000,126.070000,4275300
2021-02-16,129.000000,130.199997,123.680000,125.410004,125.410004,5857600
2021-02-17,124.500000,124.820000,118.217003,121.500000,121.500000,6593700
2021-02-18,120.000000,120.815002,114.970001,118.370003,118.370003,6016800
2021-02-19,118.570000,121.400002,118.239998,121.400002,121.400002,4919200
2021-02-22,119.580002,120.000000,115.000000,115.459999,115.459999,5201500
2021-02-23,107.300003,112.870003,98.029999,110.610001,110.610001,11523900
2021-02-24,111.010002,113.339996,108.500000,110.529999,110.529999,5816800
2021-02-25,109.300003,110.521004,102.059998,104.550003,104.550003,6767300
2021-02-26,103.550003,108.000000,101.099998,107.629997,107.629997,7896700
2021-03-01,110.010002,111.959999,107.389999,108.529999,108.529999,3951500
2021-03-02,110.000000,111.500000,107.620003,108.099998,108.099998,3534400
2021-03-03,107.529999,108.250000,100.650002,102.800003,102.800003,4663000
